Team,Conference,GM,W-L,W,L,APG,BLKS,Fouls,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,FT,FTA,FT%,PFPG,DQ,OPP REB,REB MAR,OPP PTS,SCR MAR,PTS,PPG,ST,Opp 3FGA,Opp 3FG,3FG,3FGA,3FG%,AST,ORebs,DRebs,REB,Opp TO,TO
Army West Point (Patriot),Patriot,31,15-16,15,16,12.5,58,460,804,"1,839",43.7,819,"1,854",44.2,366,581,63,14.8,9,"1,094",1.9,"2,182",0,"2,183",70.4,243,750,266,209,652,32.1,389,348,806,"1,154",430,408
Auburn (SEC),SEC,34,28-6,28,6,14.7,272,629,943,"2,166",43.5,777,"2,014",38.6,500,684,73.1,18.5,6,"1,242",3.9,"2,285",11,"2,660",78.2,284,725,225,274,862,31.8,501,435,939,"1,374",493,411
Austin Peay (OVC),OVC,29,12-17,12,17,13.5,59,483,669,"1,639",40.8,720,"1,547",46.5,308,436,70.6,16.7,4,"1,007",-1.9,"2,004",-4.4,"1,875",64.7,186,585,197,229,726,31.5,392,308,644,952,413,404
Ball St. (MAC),MAC,31,14-17,14,17,13.2,75,555,788,"1,783",44.2,830,"1,865",44.5,463,667,69.4,17.9,10,"1,124",-0.5,"2,380",-2.5,"2,304",74.3,188,796,287,265,735,36.1,408,302,806,"1,108",386,433
Baylor (Big 12),Big 12,34,27-7,27,7,15.9,117,548,962,"2,083",46.2,801,"1,892",42.3,421,604,69.7,16.1,10,"1,101",4.8,"2,178",13,"2,619",77,298,685,207,274,799,34.3,542,437,827,"1,264",540,421
Belmont (OVC),OVC,33,25-8,25,8,18,129,452,957,"1,960",48.8,838,"1,948",43,387,521,74.3,13.7,0,"1,108",-0.1,"2,264",9.7,"2,583",78.3,299,776,265,282,850,33.2,595,258,846,"1,104",493,390
Bethune-Cookman (SWAC),SWAC,30,9-21,9,21,10.8,73,514,710,"1,705",41.6,735,"1,640",44.8,337,489,68.9,17.1,15,"1,055",-2.5,"2,086",-6.2,"1,901",63.4,238,614,201,144,429,33.6,324,300,679,979,419,402
Binghamton (America East),America East,29,12-17,12,17,11.5,106,484,746,"1,692",44.1,721,"1,680",42.9,257,389,66.1,16.7,11,"1,023",0.8,"1,983",-0.7,"1,962",67.7,164,625,206,213,602,35.4,334,278,767,"1,045",322,366
Boise St. (Mountain West),Mountain West,35,27-8,27,8,11.4,120,526,849,"1,910",44.5,793,"1,855",42.7,434,668,65,15,4,"1,055",4.7,"2,130",7.4,"2,389",68.3,210,609,199,257,742,34.6,399,358,861,"1,219",461,423
Boston College (ACC),ACC,33,13-20,13,20,12.4,97,514,812,"1,896",42.8,797,"1,777",44.9,395,561,70.4,15.6,16,"1,090",1.2,"2,248",-1.2,"2,209",66.9,238,653,238,190,614,30.9,409,352,779,"1,131",410,393
Boston U. (Patriot),Patriot,35,22-13,22,13,11.1,85,545,893,"1,967",45.4,874,"1,942",45,421,570,73.9,15.6,1,"1,066",4.4,"2,369",2.9,"2,470",70.6,197,645,217,263,743,35.4,387,359,860,"1,219",390,424
Bowling Green (MAC),MAC,31,13-18,13,18,12.6,106,550,881,"2,025",43.5,884,"1,974",44.8,471,637,73.9,17.7,4,"1,188",0.5,"2,495",-0.2,"2,488",80.3,227,851,297,255,751,34,390,379,824,"1,203",407,380
Bradley (MVC),MVC,31,17-14,17,14,13.5,142,527,799,"1,801",44.4,705,"1,740",40.5,346,502,68.9,17,3,987,6.9,"2,021",5.3,"2,185",70.5,197,656,210,241,715,33.7,419,350,852,"1,202",383,420
Brown (Ivy League),Ivy League,29,13-16,13,16,12.2,113,521,739,"1,698",43.5,718,"1,627",44.1,371,523,70.9,18,19,"1,002",0.9,"2,015",1.5,"2,058",71,194,617,208,209,668,31.3,354,304,725,"1,029",410,382
Bryant (NEC),NEC,32,22-10,22,10,13.9,143,544,879,"2,013",43.7,879,"2,121",41.4,475,649,73.2,17,17,"1,232",2.8,"2,348",4.7,"2,497",78,207,712,226,264,868,30.4,444,404,918,"1,322",389,444
Bucknell (Patriot),Patriot,32,9-23,9,23,14.7,100,490,818,"1,790",45.7,950,"2,038",46.6,388,507,76.5,15.3,11,"1,140",-3.8,"2,541",-8.2,"2,277",71.2,148,780,291,253,673,37.6,471,224,794,"1,018",306,430
Buffalo (MAC),MAC,30,19-11,19,11,15,137,513,891,"1,957",45.5,797,"1,884",42.3,361,509,70.9,17.1,8,"1,042",7.7,"2,168",7.7,"2,398",79.9,214,610,193,255,746,34.2,451,425,848,"1,273",362,396
Butler (Big East),Big East,33,14-19,14,19,11,80,550,749,"1,799",41.6,802,"1,848",43.4,380,546,69.6,16.7,7,"1,121",-1.2,"2,209",-3.1,"2,107",63.8,171,699,217,229,751,30.5,363,298,785,"1,083",374,395
BYU (WCC),WCC,35,24-11,24,11,14.7,111,619,960,"2,101",45.7,862,"2,055",41.9,399,556,71.8,17.7,7,"1,133",6.9,"2,392",5.9,"2,599",74.3,170,771,236,280,793,35.3,513,376,999,"1,375",375,441
Cal Poly (Big West),Big West,28,7-21,7,21,10.5,68,544,593,"1,450",40.9,634,"1,530",41.4,388,533,72.8,19.4,16,930,1.8,"1,885",-5.9,"1,721",61.5,132,554,199,147,507,29,295,259,720,979,328,412
Cal St. Fullerton (Big West),Big West,32,21-11,21,11,11.2,63,506,792,"1,781",44.5,780,"1,772",44,479,625,76.6,15.8,3,"1,025",1.4,"2,129",3.4,"2,239",70,233,665,250,176,535,32.9,360,312,758,"1,070",444,388
